Name	Set	ImageFile	Rarity	Type	Color	Cost	Ability	Family	Skill 1	Skill 2	Skill 3	Skill 4	Skill 5	Skill 6	Skill 7	Skill 8	Banned/Restricted List
Tusnotanu	BS32	BS32-001.jpg	Common	Spirit	Red	0		Emperor Beast									
The WesterMusha Hakurai	BS32	BS32-002.jpg	Uncommon	Spirit	Red	2		Vassal, War Dragon	"[LV1][LV2][LV3] All your Spirits in the family ""Lord"" or ""Vassal"" cannot be returned from the field to the hand or deck due to opposing effects."	[LV2][LV3] (Start of Your Attack Step) While there is Soul Core on this Spirit, if you have a burst set, draw 1 card from your deck.							
Tsunobazuku	BS32	BS32-003.jpg	Common	Spirit	Red	3		Emperor Beast	[LV1][LV2] (When Summoned) Destroy one opposing Spirit with 3000 BP or less. When a Spirit is destroyed through this effect, draw 1 card from your deck.	"[LV1][LV2] While there is Soul Core on this Spirit, all your Spirits in the family ""Emperor Beast"" gain +4000 BP."							
The Cub Tiger	BS32	BS32-004.jpg	Common	Spirit	Red	4	Catalyze	Catalyst, Vassal, Emperor Beast	[LV1][LV2][LV3] (When Attacks) Draw one card from your deck.	[LV2][LV3] Catalyze: Red (When Attacks) By sending Soul Core from this Spirit to your trash, immediately activate your set Soul Burst.							
The SwordsWarDragon Muramasa-Dragon	BS32	BS32-005.jpg	Rare	Spirit	Red	5	Catalyze	Catalyst, War Dragon	[LV1][LV2][LV3] Catalyze: All Color (When Attacks) By sending Soul Core from this Spirit to your trash, immediately activate your set Soul Burst. After the Burst activates you may set one Burst Card from your hand.	[LV2][LV3] (When Attacks) You can target attack 1 opposing Spirit.							
Sanzokku-Bear	BS32	BS32-006.png	Common	Spirit	Red	5		Emperor Beast	[LV1][LV2][LV3] (When Summoned) Destroy one opposing Spirit with 5000 BP or less. When Soul Core is used to pay the summon cost, additionally, destroy one more opposing Spirit with 5000 BP or less.								
The MushaDragon Rindou	BS32	The_MushaDragon_Rindou.jpg	Common	Spirit/Soul Burst	Red	6	Soul Burst	Vassal, War Dragon, Ancient Dragon	[ Soul Burst: When your spirit is destroyed by the opponent ]	Destroy one opposing Spirit with 5000 BP or less. After this effect activates, you can summon this Spirit card at no cost.	"[LV2][LV3] While Soul Core is on this Spirit, increase the limit of your ""BP destruction effects"" by +5000."						
The FightingWarDragon Chougen	BS32	BS32-008.jpg	Uncommon	Spirit	Red	6	Catalyze	Catalyst, War Dragon, Emperor beast	[LV1][LV2] Catalyze: All Color (When Attacks) By sending Soul Core from this Spirit to your trash, immediately activate your set Soul Burst.	[LV2] (When Attacks) Destroy one opposing Spirit with 10000 BP or less.							
The BlazingBeastGeneral Gurenberos	BS32	BS32-009.png	Master Rare	Spirit	Red	7	Evolution (Awaken)	Vassal, Emperor Beast	[LV1][LV2][LV3] Flash Evolution - You can move as many cores as you like from your Spirits to this Spirit.	[LV1][LV2][LV3] (When Attacks) Destroy any number of Spirits up to a total of 5000 BP.	"[LV2][LV3] While there is Soul Core on this Spirit, increase the limit of your Spirit/Brave/Magic ""BP destruction effects"" by +10000 BP."						
Soul Ogre	BS32	BS32-010.jpg	Common	Spirit	Purple	0		Ogre Wizard	[LV1][LV2][LV3] (When Destroyed) When there is Soul Core on this Spirit, draw 1 card from your deck.								
Onmyou Child	BS32	BS32-011.jpg	Uncommon	Spirit	Purple	2		Vassal, Nightling	[LV1][LV2] While there is Soul Core on this Spirit, this Spirit cannot attack, and is unaffected by opposing effects.	[LV1][LV2] (Every Main Step) When a player activates an effect that increases core from the void, the core is taken from the life of the player that activated the effect instead of the void. Neither player can activate a burst if the life is reduced due to this effect.							
Purple Smoke Boar	BS32	BS32-012.png	Common	Spirit	Purple	3		Vassal, Spiritual Beast	[LV1][LV2] (When Summoned) By discarding one spirit card from your hand, draw 1 card from your deck.								
